@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
66,'2019/12/08 21:36:26:580',8,350.941895,415.740631,38.384781,200.368607,346.42746,44.506405,307.045807,404.237335,37.123981,331.881409,408.153595,40.490635,358.808533,403.025818,43.239594,90,?,180
67,'2019/12/08 21:36:26:630',8,352.279388,416.325989,38.513893,199.955658,346.967438,44.50267,308.322998,404.675201,37.127438,333.338257,408.334351,40.469398,359.844269,403.151093,43.265038,90,?,180
68,'2019/12/08 21:36:26:679',8,369.871094,417.874146,39.726013,198.888641,348.254761,44.273708,308.894348,405.859772,37.10994,333.851929,409.238464,40.467194,360.338593,403.877045,43.2603,90,?,180
69,'2019/12/08 21:36:26:730',8,373.033936,418.460388,40.087452,197.542145,348.324371,43.764988,308.755463,406.406555,37.037445,333.246826,409.497223,40.456409,359.526062,404.027344,43.27021,90,?,180
70,'2019/12/08 21:36:26:780',8,374.519348,418.816742,40.327156,197.31633,348.375793,43.721878,308.502777,406.541199,37.109581,332.925995,409.600891,40.536781,359.049255,404.207031,43.374786,90,?,180
71,'2019/12/08 21:36:26:829',8,363.005829,415.507935,41.142467,199.740738,341.647766,41.911575,305.554321,404.54895,37.517467,328.897217,406.556427,41.142605,355.805603,400.776093,43.862732,90,?,180
72,'2019/12/08 21:36:53:821',9,290.850494,329.469604,48.569241,268.031799,283.5354,52.140038,328.773193,377.226776,47.425255,335.039307,384.853943,50.11483,343.642517,383.632904,53.308735,180,?,180
73,'2019/12/08 21:36:53:870',9,290.419708,329.547485,48.486473,266.325134,284.03302,52.202316,329.225494,377.289368,47.392052,335.593109,384.937164,50.074268,344.106049,383.724426,53.271698,180,?,180
74,'2019/12/08 21:36:53:921',9,292.443115,330.099274,48.387848,265.973022,284.272217,51.524193,331.811523,377.252716,47.003387,338.346405,384.728638,49.709526,346.755249,383.297974,52.905289,180,?,180
75,'2019/12/08 21:36:53:972',9,293.579834,330.243713,48.529419,266.434143,284.276794,51.446926,332.794769,377.172607,46.936825,339.35025,384.63858,49.643929,347.738647,383.187866,52.839638,180,?,180
76,'2019/12/08 21:36:54:020',9,294.267639,330.284698,48.635597,266.864838,284.262146,51.468693,333.354218,377.109436,46.926098,339.916992,384.589172,49.630581,348.256866,383.129669,52.824196,180,?,180
77,'2019/12/08 21:36:54:071',9,295.103516,330.243652,48.812359,267.672729,284.196838,51.625732,333.940735,376.994629,46.971027,340.512939,384.525818,49.666241,348.716461,383.07959,52.854805,180,?,180
78,'2019/12/08 21:36:54:120',9,296.754944,329.786621,49.62999,270.86441,283.816772,52.740181,334.037964,376.54068,47.375523,340.905884,384.354919,50.008156,349.692841,383.242249,53.177658,180,?,180
79,'2019/12/08 21:36:54:171',9,297.278564,329.685303,49.880135,271.790192,283.724091,53.053761,334.069,376.412903,47.491554,341.018188,384.305786,50.106155,349.958374,383.282715,53.267715,180,?,180
80,'2019/12/08 21:37:03:282',10,409.532867,346.429321,66.131393,412.769775,288.651459,71.046188,408.974609,380.644836,58.672104,423.697754,385.844208,61.455769,457.508667,383.697998,59.688148,180,?,90
81,'2019/12/08 21:37:03:333',10,408.357513,346.44928,66.096725,411.813965,288.728058,71.040276,408.82132,380.72406,58.644226,423.494263,385.9039,61.436947,457.345398,383.701904,59.66132,180,?,90
82,'2019/12/08 21:37:03:382',10,407.808838,346.484619,66.077431,411.177673,288.773926,71.035065,408.722351,380.779327,58.624504,423.357239,385.944092,61.4245,457.228394,383.704895,59.645119,180,?,90
83,'2019/12/08 21:37:03:432',10,407.487488,346.518494,66.063774,410.72229,288.803284,71.030533,408.653595,380.820618,58.609566,423.257843,385.973114,61.41568,457.131622,383.712036,59.634544,180,?,90
84,'2019/12/08 21:37:03:482',10,407.155426,346.547974,66.047905,410.307373,288.82666,71.02565,408.593048,380.859985,58.595116,423.165863,385.999878,61.407764,457.046936,383.716003,59.617836,180,?,90
85,'2019/12/08 21:37:03:532',10,406.89566,346.515076,66.033829,410.055573,288.838806,71.02224,408.557587,380.884949,58.585831,423.10907,386.016235,61.403053,456.994385,383.720398,59.609051,180,?,90
86,'2019/12/08 21:37:03:582',10,406.545319,346.537781,66.027191,409.654175,288.905945,71.032631,408.47702,380.937653,58.578773,423.007996,386.063202,61.400055,456.896454,383.741486,59.603844,180,?,90
87,'2019/12/08 21:37:03:632',10,406.50528,346.779846,66.054672,408.892456,289.092407,71.071625,408.294586,381.052795,58.574997,422.80426,386.17749,61.399727,456.692017,383.800323,59.605377,180,?,90
88,'2019/12/08 21:37:28:070',11,481.872253,304.467896,50.909645,537.197083,231.881622,50.795826,555.478394,223.739105,45.198982,504.510559,357.239868,45.26162,514.10083,352.120789,42.807991,180,?,0
89,'2019/12/08 21:37:28:119',11,481.347321,304.450714,50.964317,536.730103,232.068909,50.814095,554.821899,223.954865,45.223186,504.266602,357.444275,45.339096,513.587463,352.3685,42.877224,180,?,0
90,'2019/12/08 21:37:28:169',11,479.675446,304.33847,50.979988,536.076599,232.60257,50.690842,554.026367,224.63681,45.186695,504.378479,358.218689,45.500916,513.282104,353.189941,43.008518,180,?,0
91,'2019/12/08 21:37:28:218',11,478.716705,305.3302,51.102474,535.598328,233.724945,50.997318,553.942688,225.642273,45.619843,504.167175,359.31369,45.647812,513.026306,354.158142,43.14949,180,?,0
92,'2019/12/08 21:37:28:268',11,479.293793,305.589386,51.103008,535.719055,234.06842,50.835644,553.767822,226.109467,45.508297,505.117401,359.975433,45.757626,513.579285,354.767029,43.221619,180,?,0
